06.05.2012 1:22:33     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:33     GET DATA    00 02 00 00 00 05 01 03 02 00 F0 
06.05.2012 1:22:33     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:33     GET DATA    00 01 00 00 00 07 01 03 04 00 A0 00 00 
06.05.2012 1:22:33     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:33     GET DATA    00 00 00 00 00 05 01 03 02 00 50 
06.05.2012 1:22:33     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:33     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:33     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:33     GET DATA    00 04 00 00 00 05 01 03 02 E0 90 
06.05.2012 1:22:33     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:33     GET DATA    00 03 00 00 00 07 01 03 04 01 40 00 00 
06.05.2012 1:22:34     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:34     GET DATA    00 02 00 00 00 05 01 03 02 00 F3 
06.05.2012 1:22:34     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:34     GET DATA    00 01 00 00 00 07 01 03 04 00 A2 00 00 
06.05.2012 1:22:34     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:34     GET DATA    00 00 00 00 00 05 01 03 02 00 51 
06.05.2012 1:22:34     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:34     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:34     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:34     GET DATA    00 04 00 00 00 05 01 03 02 E6 95 
06.05.2012 1:22:34     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:34     GET DATA    00 03 00 00 00 07 01 03 04 01 44 00 00 
